"sezioni";"codici";"titoli_corti";"l"
"C";"265";"F. di strumenti e app. di misurazione";3
"C";"266";"F. di strum. per irradiazione medicale";3
"C";"267";"F. di strum. ottici e attrezz. fotograf.";3
"C";"268";"F. di supporti ottici e magnetici";3
"C";"271";"F. di motori, generatori e trasf. el.";3
"C";"272";"F. di batterie e accumulatori";3
"C";"273";"F. di cablaggi e app. di cablaggio";3
"C";"274";"F. di app. per illuminazione";3
"C";"275";"F. di app. per uso domestico";3
"C";"279";"F. di altre app. elettriche";3
"C";"281";"F. di macchine d'impiego generale";3
"C";"282";"F. di altre macch. d'impiego generale";3
"C";"283";"F. di macch. per l'agr. e la silvicolt.";3
"C";"284";"F. di macch. per la formatura dei met.";3
"C";"289";"F. di altre macch. per impieghi spec.";3
"C";"291";"F. di autoveicoli";3
"C";"292";"F. di carrozzerie per autoveicoli";3
"C";"293";"F. di parti ed acc. per autoveicoli";3
"C";"301";"costr. di navi e imbarcazioni";3
"C";"302";"Costr. di locomotive e di mat. rotabile";3
"C";"303";"F. di aeromobili, di veicoli spaziali";3
"C";"304";"F. di veicoli militari da combatt.";3
"C";"309";"F. di mezzi di trasporto nca";3
"C";"310";"F. di mobili";3
"C";"321";"F. di gioielleria, bigiotteria";3
"C";"322";"F. di strumenti musicali";3
"C";"323";"F. di articoli sportivi";3
"C";"324";"F. di giochi e giocattoli";3
"C";"325";"F. di strum. e forniture med. e dentist.";3
"C";"329";"Ind. manifatturiere nca";3
"C";"331";"Ripar. di prod. in metallo, macchine";3
"C";"332";"Inst. di macch. ed app. industriali";3
"D";"351";"Prod., trasm. e distr. di energia el.";3
"D";"352";"Prod. di gas; distr. di combust. gassosi";3
"D";"353";"Fornitura di vapore e aria condizionata";3
"E";"360";"Raccolta, tratt. e fornitura di acqua";3
"E";"370";"Gestione delle reti fognarie";3
"E";"381";"Raccolta dei rifiuti";3
"E";"382";"Tratt. e smaltimento dei rifiuti";3
"E";"383";"Recupero di materiali";3
"E";"390";"Att. di risanamento";3
"F";"411";"Sviluppo di progetti imm.";3
"F";"412";"Costr. di edifici resid. e non resid.";3
"F";"421";"Costr. di strade e ferrovie";3
"F";"422";"Costruzione di infrastrutture";3
"F";"429";"Costr. di altre opere di ing. civile";3
"F";"431";"Demolizione e prep. del cantiere edile";3
"F";"432";"Inst. d'impianti elettrici";3
"F";"433";"Completamento e finitura di edifici";3
"F";"439";"Altri lav. specializzati di costruzione";3
"G";"451";"Commercio di autoveicoli";3
"G";"452";"Man. e riparazione di autoveicoli";3
"G";"453";"Comm. di parti e acc. di autoveicoli";3
"G";"454";"Comm., man. e ripar. di motocicli";3
"G";"461";"Intermediari del commercio";3
"G";"462";"Ci. di mat. prime agricole e anim. vivi";3
"G";"463";"Ci. di prod. alim., bevande e tabacco";3
"G";"464";"Ci. di beni di consumo";3
"G";"465";"Ci. di apparecchiature ICT";3
"G";"466";"Ci. di a. macch., attrezz. e forniture";3
"G";"467";"Ci. specializzato di altri prodotti";3
"G";"469";"Ci. non specializzato";3
"G";"471";"Cd. in esercizi non specializzati";3
"G";"472";"Cd. di prodotti alim. bev. e tabacco";3
"G";"473";"Cd. di carburante per autotrazione";3
"G";"474";"Cd. di app. di info. e comunicazione";3
"G";"475";"Cd.di altri oggetti di uso domestico";3
"G";"476";"Cd. di art. culturali e ricreativi";3
"G";"477";"Cd. di altri prod. in esercizi spec.";3
"G";"478";"Cd. ambulante in bancarelle e mercati";3
"G";"479";"Cd. al di fuori dei negozi";3
"H";"491";"Trasp. ferroviario di passeggeri";3
"H";"492";"Trasp. ferroviairo di merci";3
"H";"493";"Altri trasp. terrestri di passeggeri";3
"H";"494";"Trasp. di merci su strada";3
"H";"495";"Trasp. mediante condotte";3
"H";"501";"Trasp. marittimo e costiero di pass.";3
"H";"502";"Trasp. marittimo e costiero di merci";3
"H";"503";"Trasp. di pass. per vie d'acqua interne";3
"H";"504";"Trasp. di merci per vie d'acqua interne";3
"H";"511";"Trasp. aereo di passeggeri";3
"H";"512";"Trasp. aereo di merci e trasp. spaziale";3
"H";"521";"Magazzinaggio e custodia";3
"H";"522";"Att. di supporto ai trasporti";3
"H";"531";"Att. postali con obbligo di serv. univ.";3
"H";"532";"Altre att. postali e di corriere";3
"I";"551";"Alberghi e alloggio simili";3
"I";"552";"Alloggi per vacanze per brevi soggiorni";3
"I";"553";"Aree di camp. e aree attrezz. per camper";3
"I";"559";"Altri alloggi";3
"I";"561";"Rist. e att. di ristorazione mobile";3
"I";"562";"Catering per eventi e a. serv. di rist.";3
"I";"563";"Somministrazione di bevande";3
"J";"581";"Ed. di libri, periodici e a. att. edit.";3
"J";"582";"Edizione di software";3
"J";"591";"Att. di prod. cinematografica";3
"J";"592";"Att. di reg. sonora e dell'edit. mus.";3
"J";"601";"Trasmissioni radiofoniche";3
"J";"602";"Att. di progr. e trasm. televisive";3
"J";"611";"Telecomunicazioni fisse";3
"J";"612";"Telecomunicazioni mobili";3
"J";"613";"Telecomunicazioni satellitari";3
"J";"619";"Altre att. di telecomunicazione";3
"J";"620";"Progr., consulenza informatica";3
"J";"631";"Elab. dei dati, hosting e att. connesse";3
"J";"639";"Altre att. dei serv. di informazione";3
"K";"641";"Intermediazione monetaria";3
"K";"642";"Att. delle società di partecipazione";3
"K";"643";"Trust, fondi e analoghi enti finanziari";3
"K";"649";"Altre prestazioni di servizi fin.";3
"K";"651";"Assicurazioni";3
"K";"652";"Riassicurazioni";3
"K";"653";"Fondi pensione";3
"K";"661";"Att. aus. d. serv. fin., escl. le assic.";3
"K";"662";"Att. aus. d. assic. e dei fondi pensione";3
"K";"663";"Att. di gestione di fondi";3
"L";"681";"Compravendita di beni imm.";3
"L";"682";"Affitto e gest. di beni imm. propri";3
"L";"683";"Att. immobiliari per conto terzi";3
"M";"691";"Attività degli studi legali";3
"M";"692";"Contabilità, contr. e rev. contabile";3
"M";"701";"Attività di sedi centrali";3
"M";"702";"Att. di consulenza gestionale";3
"M";"711";"Att. d. studi di architettura";3
"M";"712";"Collaudi e analisi tecniche";3
"M";"721";"R-S sperim. nel campo d. scienze nat.";3
"M";"722";"R-S sperim. nel campo d. scienze soc.";3
"M";"731";"Pubblicità";3
"M";"732";"Ricerche di mercato, sond. di opinione";3
"M";"741";"Attività di design specializzate";3
"M";"742";"Attività fotografiche";3
"M";"743";"Traduzioni e interpretariato";3
"M";"749";"A. att. prof., scientifiche e tecn. nca";3
"M";"750";"Servizi veterinari";3
"N";"771";"Noleggio e leasing di autov.";3
"N";"772";"Nol. e leasing di beni per uso pers.";3
"N";"773";"Nol. e leasing di altre macchine";3
"N";"774";"Leasing di prod. di proprietà intellet.";3
"N";"781";"Att. di agenzie di collocamento";3
"N";"782";"Att. di agenzie di lav. interinale";3
"N";"783";"Altre att. di fornitura di risorse umane";3
"N";"791";"Att. delle agenzie di viaggio";3
"N";"799";"A. serv. di prenotazione e att. conn.";3
"N";"801";"Servizi di vigilanza privata";3
"N";"802";"Att. d. serv. conn. ai sistemi di vigil.";3
"N";"803";"Servizi investigativi";3
"N";"811";"Serv. di assistenza integrata agli edif.";3
"N";"812";"Attività di pulizia";3
"N";"813";"Att. di sistemazione del paesaggio";3
"N";"821";"Att. amm. e di supporto";3
"N";"822";"Attività dei call center";3
"N";"823";"Organ. di convegni e fiere";3
"N";"829";"Serv. di supporto alle imprese nca";3
"O";"841";"Amm. pubbl.: amm. gen., econ. e sociale";3
"O";"842";"Affari esteri, difesa, giustizia, sicur.";3
"O";"843";"Assic. sociale obbligatoria";3
"P";"851";"Istruzione prescolastica";3
"P";"852";"Istruzione primaria";3
"P";"853";"Istruzione secondaria";3
"P";"854";"Istr. universitaria e post-universitaria";3
"P";"855";"Altri servizi d'istruzione";3
"P";"856";"Serv. di supporto all'istruzione";3
"Q";"861";"Servizi ospedalieri";3
"Q";"862";"Serv. d. studi medici ed odontoiatrici";3
"Q";"869";"Altri serv. di assistenza sanitaria";3
"Q";"871";"Att. di assist. infermieristica resid.";3
"Q";"872";"Serv. di assist. resid. per rit. mentali";3
"Q";"873";"Serv. di assist. resid. per anziani";3
"Q";"879";"Altre att. di assist. residenziale";3
"Q";"881";"Assist. soc. non resid. per anziani";3
"Q";"889";"Altre att. di assist. soc. non resid.";3
"R";"900";"Att. creative, artistiche e di intratt.";3
"R";"910";"Att. di biblioteche, archivi, musei";3
"R";"920";"Att. riguardanti scommesse";3
"R";"931";"Attività sportive";3
"R";"932";"Att. di intrattenimento";3
"S";"941";"Att. di organ. economiche";3
"S";"942";"Attività dei sindacati";3
"S";"949";"Att. di altre organ. associative";3
"S";"951";"Ripar. di computer, e di apparecchiature";3
"S";"952";"Ripar. di beni per uso pers.";3
"S";"960";"Altre att. di servizi personali";3
"T";"970";"Att. di fam. e conv. come datori di lav.";3
"T";"981";"Prod. di beni indiff. per uso proprio";3
"T";"982";"Prod. di serv. indiff. per uso proprio";3
"U";"990";"Att. di organ. e organismi extraterr.";3
