"sezioni";"codici";"titoli_corti";"titoli";"l"
"A";"0164";"Lav. delle sementi per la semina";"Lavorazione delle sementi per la semina";4
"A";"0170";"Caccia, cattura di animali";"Caccia, cattura di animali e servizi connessi";4
"A";"0210";"Silvicolt. e altre att. forestali";"Silvicoltura e altre attività forestali";4
"A";"0220";"Utilizzo di aree forest.";"Utilizzo di aree forestali";4
"A";"0230";"Raccolta di prod. non legnosi selvatici";"Raccolta di prodotti non legnosi selvatici";4
"A";"0240";"Servizi di supporto per la silvicolt.";"Servizi di supporto per la silvicoltura";4
"A";"0311";"Pesca marina";"Pesca marina";4
"A";"0312";"Pesca in acque dolci";"Pesca in acque dolci";4
"A";"0321";"Acquicolt. marina";"Acquicoltura marina";4
"A";"0322";"Acquicolt. in acque dolci";"Acquicoltura in acque dolci";4
"B";"0510";"Estr. di antracite";"Estrazione di antracite";4
"B";"0520";"Estr. di lignite";"Estrazione di lignite";4
"B";"0610";"Estr. di petrolio greggio";"Estrazione di petrolio greggio";4
"B";"0620";"Estr. di gas naturale";"Estrazione di gas naturale";4
"B";"0710";"Estr. di min. metalliferi ferrosi";"Estrazione di minerali metalliferi ferrosi";4
"B";"0721";"Estr. di min. di uranio e di torio";"Estrazione di minerali di uranio e di torio";4
"B";"0729";"Estr. di altri min. metalliferi non fer.";"Estrazione di altri minerali metalliferi non ferrosi";4
"B";"0811";"Estr. di pietre ornamentali e da costr.";"Estrazione di pietre ornamentali e da costruzione, calcare, pietra di gesso, creta e ardesia";4
"B";"0812";"Estr. di ghiaia, sabbia";"Estrazione di ghiaia e sabbia; estrazione di argille e caolino";4
"B";"0891";"Estr. di min. per l'industria chimica";"Estrazione di minerali per l'industria chimica e per la produzione di fertilizzanti";4
"B";"0892";"Estr. di torba";"Estrazione di torba";4
"B";"0893";"Estr. di sale";"Estrazione di sale";4
"B";"0899";"Altre att. estrattive nca";"Altre attività estrattive n.c.a.";4
"B";"0910";"Att. di supporto all'estr. di petrolio";"Attività di supporto all'estrazione di petrolio e di gas naturale";4
"B";"0990";"Att. di supporto ad altre att. estr.";"Attività di supporto ad altre attività estrattive";4
"C";"1011";"Lavorazione e cons. di carne";"Lavorazione e conservazione di carne";4
"C";"1012";"Lavorazione e cons. di carne di volatili";"Lavorazione e conservazione di carne di volatili";4
"C";"1013";"Prod. di prodotti a base di carne";"Produzione di prodotti a base di carne (compresa la carne di volatili)";4
"C";"1020";"Lavorazione e cons. di pesce";"Lavorazione e conservazione di pesce, crostacei e molluschi";4
"C";"1031";"Lavorazione e cons. delle patate";"Lavorazione e conservazione delle patate";4
"C";"1032";"Prod. di succhi di frutta e di ortaggi";"Produzione di succhi di frutta e di ortaggi";4
"C";"1039";"Altre lav. e cons. di frutta e ortaggi";"Altra lavorazione e conservazione di frutta e ortaggi";4
"C";"1041";"Prod. di oli e grassi";"Produzione di oli e grassi";4
"C";"1042";"Prod. di margarina e di grassi commest.";"Produzione di margarina e di grassi commestibili simili";4
"C";"1051";"Lav. del latte e prod. di latticini";"Lavorazione del latte e produzione di latticini";4
"C";"1052";"Prod. di gelati";"Produzione di gelati";4
"C";"1061";"Lav. delle granaglie";"Lavorazione delle granaglie";4
"C";"1062";"Prod. di amidi e di prod. amidacei";"Produzione di amidi e di prodotti amidacei";4
"C";"1071";"Prod. di pane; prod. di pasticceria";"Produzione di pane; prodotti di pasticceria freschi";4
"C";"1072";"Prod. di fette biscottate e di biscotti";"Produzione di fette biscottate e di biscotti; fabbricazione di prodotti di pasticceria conservati";4
"C";"1073";"Prod. di paste alimentari";"Produzione di paste alimentari, di cuscus e di prodotti farinacei simili";4
"C";"1081";"Prod. di zucchero";"Produzione di zucchero";4
"C";"1082";"Prod. di cacao, cioccolato, caramelle";"Produzione di cacao, cioccolato, caramelle e confetterie";4
"C";"1083";"Lav. del tè e del caffè";"Lavorazione del tè e del caffè";4
"C";"1084";"Prod. di condimenti e spezie";"Produzione di condimenti e spezie";4
"C";"1085";"Prod. di pasti e piatti preparati";"Produzione di pasti e piatti preparati";4
"C";"1086";"Prod. di preparati omogeneizzati";"Produzione di preparati omogeneizzati e di alimenti dietetici";4
"C";"1089";"Prod. di altri prodotti alim. nca";"Produzione di altri prodotti alimentari n.c.a.";4
"C";"1091";"Prod. di mangimi per l'alim. degli anim.";"Produzione di mangimi per l'alimentazione degli animali da allevamento";4
"C";"1092";"Prod. di prod. per l'alim. d. anim. dom.";"Produzione di prodotti per l'alimentazione degli animali domestici";4
"C";"1101";"Distil., rett. e miscelatura di alcolici";"Distillazione, rettifica e miscelatura di alcolici";4
"C";"1102";"Prod. di vini da uve";"Produzione di vini da uve";4
"C";"1103";"Prod. di sidro";"Produzione di sidro e di altri vini a base di frutta";4
"C";"1104";"Prod. di altre bevande ferm. non distil.";"Produzione di altre bevande fermentate non distillate";4
"C";"1105";"F. di birra";"Fabbricazione di birra";4
"C";"1106";"F. di malto";"Fabbricazione di malto";4
"C";"1107";"Prod. di bibite analcoliche";"Produzione di bibite analcoliche, di acque minerali e di altre acque in bottiglia";4
"C";"1200";"Prod. di tabacchi";"Produzione di tabacchi";4
"C";"1310";"Prep. e filatura di fibre tessili";"Preparazione e filatura di fibre tessili";4
"C";"1320";"Tessitura";"Tessitura";4
"C";"1330";"Finissaggio dei tess.";"Finissaggio dei tessili";4
"C";"1391";"F. di tessuti a maglia";"Fabbricazione di tessuti a maglia";4
"C";"1392";"F. di articoli tessili.";"Fabbricazione di articoli tessili, esclusi gli articoli di abbigliamento";4
"C";"1393";"F. di tappeti e moquette";"Fabbricazione di tappeti e moquette";4
"C";"1394";"F. di spago, corde, funi e reti";"Fabbricazione di spago, corde, funi e reti";4
"C";"1395";"F. di tessuti non tessuti";"Fabbricazione di tessuti non tessuti e di articoli in tali materie, esclusi gli articoli di abbigliamento";4
"C";"1396";"F. di tessuti per uso tecnico e ind.";"Fabbricazione di tessuti per uso tecnico e industriale";4
"C";"1399";"F. di altri prod. tessili nca";"Fabbricazione di altri prodotti tessili n.c.a.";4
"C";"1411";"Conf. di abbigliamento in pelle";"Confezione di abbigliamento in pelle";4
"C";"1412";"Conf. di indumenti da lavoro";"Confezione di indumenti da lavoro";4
"C";"1413";"Conf. di altro abbigliamento esterno";"Confezione di altro abbigliamento esterno";4
"C";"1414";"Conf. di biancheria intima";"Confezione di biancheria intima";4
"C";"1419";"Conf. di altri art. di abb. ed accessori";"Confezione di altri articoli di abbigliamento ed accessori";4
"C";"1420";"Conf. di articoli in pelliccia";"Confezione di articoli in pelliccia";4
"C";"1431";"F. di art. di calzetteria in maglia";"Fabbricazione di articoli di calzetteria in maglia";4
"C";"1439";"F. di altri articoli di maglieria";"Fabbricazione di altri articoli di maglieria";4
"C";"1511";"Prep. e tintura di pellicce";"Preparazione e concia del cuoio; preparazione e tintura di pellicce";4
"C";"1512";"F. di art. da viaggio, borse e simili";"Fabbricazione di articoli da viaggio, borse e simili, pelletteria e selleria";4
"C";"1520";"F. di calzature";"Fabbricazione di calzature";4
"C";"1610";"Taglio e piallatura del legno";"Taglio e piallatura del legno";4
"C";"1621";"F. di fogli da impiall. e di pannelli";"Fabbricazione di fogli da impiallacciatura e di pannelli a base di legno";4
"C";"1622";"F. di pavimenti a parquet assemblati";"Fabbricazione di pavimenti a parquet assemblati";4
"C";"1623";"F. di altri prod. di carpent. in legno";"Fabbricazione di altri prodotti di carpenteria in legno e falegnameria per l'edilizia";4
"C";"1624";"F. di imballaggi in legno";"Fabbricazione di imballaggi in legno";4
"C";"1629";"F. di altri prod. in legno";"Fabbricazione di altri prodotti in legno, fabbricazione di articoli in sughero, paglia e materiali da intreccio";4
"C";"1711";"F. di pasta-carta";"Fabbricazione di pasta-carta";4
"C";"1712";"F. di carta e di cartone";"Fabbricazione di carta e di cartone";4
"C";"1721";"F. di carta e cartoni ondulati";"Fabbricazione di carta e cartoni ondulati e di imballaggi di carta e cartone";4
"C";"1722";"F. di prod. di carta e cartone";"Fabbricazione di prodotti di carta e cartone per uso domestico e igienico-sanitario";4
"C";"1723";"F. di prod. cartotecnici";"Fabbricazione di prodotti cartotecnici";4
"C";"1724";"F. di carta da parati";"Fabbricazione di carta da parati";4
"C";"1729";"F. di altri art. di carta e cartone";"Fabbricazione di altri articoli di carta e cartone";4
"C";"1811";"Stampa di giornali";"Stampa di giornali";4
"C";"1812";"Altra stampa";"Altra stampa";4
"C";"1813";"Lav. preliminari alla stampa e ai media";"Lavorazioni preliminari alla stampa e ai media";4
"C";"1814";"Rilegatura e servizi conn.";"Rilegatura e servizi connessi";4
"C";"1820";"Riprod. su supporti registrati";"Riproduzione su supporti registrati";4
"C";"1910";"F. di prodotti di cokeria";"Fabbricazione di prodotti di cokeria";4
"C";"1920";"F. di prod. derivanti dalla raffin.";"Fabbricazione di prodotti derivanti dalla raffinazione del petrolio";4
"C";"2011";"F. di gas industriali";"Fabbricazione di gas industriali";4
"C";"2012";"F. di coloranti e pigmenti";"Fabbricazione di coloranti e pigmenti";4
"C";"2013";"F. di altri prod. chim. di base inorg.";"Fabbricazione di altri prodotti chimici di base inorganici";4
"C";"2014";"F. di a. prod. chim. di base organici";"Fabbricazione di altri prodotti chimici di base organici";4
"C";"2015";"F. di fertil. e di composti azotati";"Fabbricazione di fertilizzanti e di composti azotati";4
"C";"2016";"F. di mat. plastiche in forme primarie";"Fabbricazione di materie plastiche in forme primarie";4
"C";"2017";"F. di gomma sint. in forme primarie";"Fabbricazione di gomma sintetica in forme primarie";4
"C";"2020";"F. di fitofarmaci e di altri prod. chim.";"Fabbricazione di fitofarmaci e di altri prodotti chimici per l'agricoltura";4
"C";"2030";"F. di pitture, vernici e smalti";"Fabbricazione di pitture, vernici e smalti, inchiostri da stampa e adesivi sintetici";4
"C";"2041";"F. di saponi e detergenti";"Fabbricazione di saponi e detergenti, di prodotti per la pulizia e la lucidatura";4
"C";"2042";"F. di profumi e cosmetici";"Fabbricazione di profumi e cosmetici";4
"C";"2051";"F. di esplosivi";"Fabbricazione di esplosivi";4
"C";"2052";"F. di colle";"Fabbricazione di colle";4
"C";"2053";"F. di oli essenziali";"Fabbricazione di oli essenziali";4
"C";"2059";"F. di altri prod. chimici nca";"Fabbricazione di altri prodotti chimici n.c.a.";4
"C";"2060";"F. di fibre sint. e artificiali";"Fabbricazione di fibre sintetiche e artificiali";4
"C";"2110";"F. di prodotti farmaceutici di base";"Fabbricazione di prodotti farmaceutici di base";4
"C";"2120";"F. di preparati farmaceutici";"Fabbricazione di preparati farmaceutici";4
"C";"2211";"F. di pneumatici e camere d'aria";"Fabbricazione di pneumatici e camere d'aria; rigenerazione e ricostruzione di pneumatici";4
"C";"2219";"F. di altri prodotti in gomma";"Fabbricazione di altri prodotti in gomma";4
"C";"2221";"F. di lastre, fogli, tubi";"Fabbricazione di lastre, fogli, tubi e profilati in materie plastiche";4
"C";"2222";"F. di imballaggi in mat. plastiche";"Fabbricazione di imballaggi in materie plastiche";4
"C";"2223";"F. di art. in plastica per l'edilizia";"Fabbricazione di articoli in plastica per l'edilizia";4
"C";"2229";"F. di altri art. in materie plastiche";"Fabbricazione di altri articoli in materie plastiche";4
"C";"2311";"F. di vetro piano";"Fabbricazione di vetro piano";4
"C";"2312";"Lav. e trasf. del vetro piano";"Lavorazione e trasformazione del vetro piano";4
"C";"2313";"F. di vetro cavo";"Fabbricazione di vetro cavo";4
"C";"2314";"F. di fibre di vetro";"Fabbricazione di fibre di vetro";4
"C";"2319";"F. e lavorazione di altro vetro";"Fabbricazione e lavorazione di altro vetro incluso il vetro per usi tecnici";4
"C";"2320";"F. di prodotti refrattari";"Fabbricazione di prodotti refrattari";4
"C";"2331";"F. di piastrelle in ceram. per pavim.";"Fabbricazione di piastrelle in ceramica per pavimenti e rivestimenti";4
"C";"2332";"F. di mattoni, tegole ed altri prod.";"Fabbricazione di mattoni, tegole ed altri prodotti per l'edilizia in terracotta";4
"C";"2341";"F. di prod. in ceram. per usi dom.";"Fabbricazione di prodotti in ceramica per usi domestici e ornamentali";4
"C";"2342";"F. di articoli sanitari in ceramica";"Fabbricazione di articoli sanitari in ceramica";4
"C";"2343";"F. di isolatori e di pezzi in ceram.";"Fabbricazione di isolatori e di pezzi isolanti in ceramica";4
"C";"2344";"F. di a. prod. in ceram. per uso tecn.";"Fabbricazione di altri prodotti in ceramica per uso tecnico e industriale";4
"C";"2349";"F. di altri prodotti in ceramica";"Fabbricazione di altri prodotti in ceramica";4
"C";"2351";"Prod. di cemento";"Produzione di cemento";4
"C";"2352";"Prod. di calce e gesso";"Produzione di calce e gesso";4
"C";"2361";"F. di prod. in calces. per l'edilizia";"Fabbricazione di prodotti in calcestruzzo per l'edilizia";4
"C";"2362";"F. di prod. in gesso per l'edilizia";"Fabbricazione di prodotti in gesso per l'edilizia";4
"C";"2363";"F. di calcestruzzo pronto per l'uso";"Fabbricazione di calcestruzzo pronto per l'uso";4
"C";"2364";"F. di malta";"Fabbricazione di malta";4
"C";"2365";"F. di prod. in fibrocemento";"Fabbricazione di prodotti in fibrocemento";4
"C";"2369";"F. di altri prod. in calcestruzzo";"Fabbricazione di altri prodotti in calcestruzzo, gesso e cemento";4
"C";"2370";"Taglio, modellatura e finit. di pietre";"Taglio, modellatura e finitura di pietre";4
"C";"2391";"F. di prodotti abrasivi";"Fabbricazione di prodotti abrasivi";4
"C";"2399";"F. d. altri prod. in min. non met. nca";"Fabbricazione di altri prodotti in minerali non metalliferi n.c.a.";4
"C";"2410";"Att. siderurgiche";"Attività siderurgiche";4
"C";"2420";"F. di tubi, condotti, profilati cavi";"Fabbricazione di tubi, condotti, profilati cavi e relative guarnizioni in acciaio";4
"C";"2431";"Stiratura a freddo di barre";"Stiratura a freddo di barre";4
"C";"2432";"Laminazione a freddo di nastri";"Laminazione a freddo di nastri";4
"C";"2433";"Profilatura mediante formatura";"Profilatura mediante formatura o piegatura a freddo";4
"C";"2434";"Trafilatura a freddo";"Trafilatura a freddo";4
"C";"2441";"Produzione di metalli preziosi";"Produzione di metalli preziosi";4
"C";"2442";"Produzione di alluminio";"Produzione di alluminio";4
"C";"2443";"Produzione di piombo, zinco e stagno";"Produzione di piombo, zinco e stagno";4
"C";"2444";"Produzione di rame";"Produzione di rame";4
"C";"2445";"Prod. di altri metalli non ferrosi";"Produzione di altri metalli non ferrosi";4
"C";"2446";"Tratt. dei combustibil nucleari";"Trattamento dei combustibili nucleari";4
"C";"2451";"Fusione di ghisa";"Fusione di ghisa";4
"C";"2452";"Fusione di acciaio";"Fusione di acciaio";4
"C";"2453";"Fusione di metalli leggeri";"Fusione di metalli leggeri";4
"C";"2454";"Fusione di altri metalli non ferrosi";"Fusione di altri metalli non ferrosi";4
"C";"2511";"F. di strutture metalliche";"Fabbricazione di strutture metalliche e di parti di strutture";4
"C";"2512";"F. di porte e finestre in metallo";"Fabbricazione di porte e finestre in metallo";4
"C";"2521";"F. di radiatori e contenitori in met.";"Fabbricazione di radiatori e contenitori in metallo per caldaie per il riscaldamento centrale";4
"C";"2529";"F. di altre cisterne, serbatoi";"Fabbricazione di altre cisterne, serbatoi e contenitori in metallo";4
"C";"2530";"F. di generatori di vapore";"Fabbricazione di generatori di vapore, esclusi i contenitori in metallo per caldaie per il riscaldamento centrale ad acqua calda";4
"C";"2540";"F. di armi e munizioni";"Fabbricazione di armi e munizioni";4
"C";"2550";"Fucinatura, imbutitura, stampaggio";"Fucinatura, imbutitura, stampaggio e profilatura dei metalli; metallurgia delle polveri";4
"C";"2561";"Tratt. e rivestimento dei metalli";"Trattamento e rivestimento dei metalli";4
"C";"2562";"Lav. di meccanica generale";"Lavori di meccanica generale";4
"C";"2571";"F. di art. di coltelleria e posateria";"Fabbricazione di articoli di coltelleria e posateria";4
"C";"2572";"F. di serrature e cerniere";"Fabbricazione di serrature e cerniere";4
"C";"2573";"F. di utensileria";"Fabbricazione di utensileria";4
"C";"2591";"F. di bidoni in acciaio";"Fabbricazione di bidoni in acciaio e di contenitori analoghi";4
"C";"2592";"F. di imballaggi leggeri in metallo";"Fabbricazione di imballaggi leggeri in metallo";4
"C";"2593";"F. di prod. fabbricati con fili met.";"Fabbricazione di prodotti fabbricati con fili metallici, di catene e molle";4
"C";"2594";"F. di articoli di bulloneria";"Fabbricazione di articoli di bulloneria";4
"C";"2599";"F. di altri prod. in metallo nca";"Fabbricazione di altri prodotti in metallo n.c.a.";4
"C";"2611";"F. di componenti elettronici";"Fabbricazione di componenti elettronici";4
"C";"2612";"F. di schede elettroniche integrate";"Fabbricazione di schede elettroniche integrate";4
"C";"2620";"F. di computer e unità periferiche";"Fabbricazione di computer e unità periferiche";4
"C";"2630";"F. di app. per le comunicazioni";"Fabbricazione di apparecchiature per le comunicazioni";4
"C";"2640";"F. di prod. di el. di consumo";"Fabbricazione di prodotti di elettronica di consumo";4
"C";"2651";"F. di strumenti e app. di misurazione";"Fabbricazione di strumenti e apparecchi di misurazione, prova e navigazione";4
"C";"2652";"F. di orologi";"Fabbricazione di orologi";4
"C";"2660";"F. di strum. per irradiazione medicale";"Fabbricazione di strumenti per irradiazione, apparecchiature elettromedicali ed elettroterapeutiche";4
"C";"2670";"F. di strum. ottici e attrezz. fotograf.";"Fabbricazione di strumenti ottici e attrezzature fotografiche";4
"C";"2680";"F. di supporti ottici e magnetici";"Fabbricazione di supporti ottici e magnetici";4
"C";"2711";"F. di motori, generatori e trasf. el.";"Fabbricazione di motori, generatori e trasformatori elettrici";4
"C";"2712";"F. di app. per la distribuzione el.";"Fabbricazione di apparecchiature per la distribuzione e il controllo dell'elettricità";4
"C";"2720";"F. di batterie e accumulatori";"Fabbricazione di batterie e accumulatori";4
"C";"2731";"F. di cavi a fibre ottiche";"Fabbricazione di cavi a fibre ottiche";4
"C";"2732";"F. di altri fili e cavi elettronici";"Fabbricazione di altri fili e cavi elettronici ed elettrici";4
"C";"2733";"F. di attrezz. per cablaggio";"Fabbricazione di attrezzature per cablaggio";4
"C";"2740";"F. di app. per illuminazione";"Fabbricazione di apparecchiature per illuminazione";4
"C";"2751";"F. di elettrodomestici";"Fabbricazione di elettrodomestici";4
"C";"2752";"F. di app. per uso dom. non elettrici";"Fabbricazione di apparecchi per uso domestico non elettrici";4
"C";"2790";"F. di altre app. elettriche";"Fabbricazione di altre apparecchiature elettriche";4
"C";"2811";"F. di motori e turbine";"Fabbricazione di motori e turbine, esclusi i motori per aeromobili, veicoli e motocicli";4
"C";"2812";"F. di app. fluidodinamiche";"Fabbricazione di apparecchiature fluidodinamiche";4
"C";"2813";"F. di altre pompe e compressori";"Fabbricazione di altre pompe e compressori";4
"C";"2814";"F. di altri rubinetti e valvole";"Fabbricazione di altri rubinetti e valvole";4
"C";"2815";"F. di cuscinetti, ingranaggi";"Fabbricazione di cuscinetti, ingranaggi e organi di trasmissione";4
"C";"2821";"F. di forni, caldaie";"Fabbricazione di forni, caldaie per il riscaldamento centrale e bruciatori per caldaie";4
"C";"2822";"F. di app. di sollevamento e mov.";"Fabbricazione di apparecchi di sollevamento e movimentazione";4
"C";"2823";"F. di macch. e attrezz. per ufficio";"Fabbricazione di macchine e attrezzature per ufficio (esclusi computer e unità periferiche)";4
"C";"2824";"F. di utensili portatili a motore";"Fabbricazione di utensili portatili a motore";4
"C";"2825";"F. di attrezz. di uso non domestico";"Fabbricazione di attrezzature di uso non domestico per la refrigerazione e la ventilazione";4
"C";"2829";"F. di altre macch. d'impiego gen. nca";"Fabbricazione di altre macchine di impiego generale n.c.a.";4
"C";"2830";"F. di macch. per l'agr. e la silvicolt.";"Fabbricazione di macchine per l'agricoltura e la silvicoltura";4
"C";"2841";"F. di macch. per la formatura dei met.";"Fabbricazione di macchine per la formatura dei metalli";4
"C";"2849";"F. di altre macchine utensili";"Fabbricazione di altre macchine utensili";4
"C";"2891";"F. di macch. per la metallurgia";"Fabbricazione di macchine per la metallurgia";4
"C";"2892";"F. di macchine da miniera";"Fabbricazione di macchine da miniera, cava e cantiere";4
"C";"2893";"F. di macch. per l'industria alim.";"Fabbricazione di macchine per l'industria alimentare, delle bevande e del tabacco";4
"C";"2894";"F. di macchine per le industrie tess.";"Fabbricazione di macchine per le industrie tessili, dell'abbigliamento e del cuoio";4
"C";"2895";"F. di macch. per l'ind. della carta";"Fabbricazione di macchine per l'industria della carta e del cartone";4
"C";"2896";"F. di macch. per l'ind. d. mat. plast.";"Fabbricazione di macchine per l'industria delle materie plastiche e della gomma";4
"C";"2899";"F. d. a. macch. per impieghi spec. nca";"Fabbricazione di altre macchine per impieghi speciali n.c.a.";4
"C";"2910";"F. di autoveicoli";"Fabbricazione di autoveicoli";4
"C";"2920";"F. di carrozzerie per autoveicoli";"Fabbricazione di carrozzerie per autoveicoli; fabbricazione di rimorchi e semirimorchi";4
"C";"2931";"F. di app. el. ed elettroniche";"Fabbricazione di apparecchiature elettriche ed elettroniche per autoveicoli";4
"C";"2932";"F. di altre parti ed acc. per autov.";"Fabbricazione di altre parti ed accessori per autoveicoli";4
"C";"3011";"Costr. di navi e di strutt. galleggianti";"Costruzione di navi e di strutture galleggianti";4
"C";"3012";"Costr. di imbarcazioni da diporto";"Costruzione di imbarcazioni da diporto e sportive";4
"C";"3020";"Costr. di locomotive e di mat. rotabile";"Costruzione di locomotive e di materiale rotabile ferro-tranviario";4
"C";"3030";"F. di aeromobili, di veicoli spaziali";"Fabbricazione di aeromobili, di veicoli spaziali e dei relativi dispositivi";4
"C";"3040";"F. di veicoli militari da combatt.";"Fabbricazione di veicoli militari da combattimento";4
"C";"3091";"F. di motocicli";"Fabbricazione di motocicli";4
"C";"3092";"F. di biciclette e veicoli per inval.";"Fabbricazione di biciclette e veicoli per invalidi";4
"C";"3099";"F. di altri mezzi di trasporto nca";"Fabbricazione di altri mezzi di trasporto n.c.a.";4
"C";"3101";"F. di mobili per uffici e negozi";"Fabbricazione di mobili per uffici e negozi";4
"C";"3102";"F. di mobili per cucina";"Fabbricazione di mobili per cucina";4
"C";"3103";"F. di materassi";"Fabbricazione di materassi";4
"C";"3109";"F. di altri mobili";"Fabbricazione di altri mobili";4
"C";"3211";"Conio di monete";"Conio di monete";4
"C";"3212";"F. di gioielli e articoli conn.";"Fabbricazione di gioielli e articoli connessi";4
"C";"3213";"F. di bigiotteria e art. simili";"Fabbricazione di bigiotteria e articoli simili";4
"C";"3220";"F. di strumenti musicali";"Fabbricazione di strumenti musicali";4
"C";"3230";"F. di articoli sportivi";"Fabbricazione di articoli sportivi";4
"C";"3240";"F. di giochi e giocattoli";"Fabbricazione di giochi e giocattoli";4
"C";"3250";"F. di strum. e forniture med. e dentist.";"Fabbricazione di strumenti e forniture mediche e dentistiche";4
"C";"3291";"F. di scope e spazzole";"Fabbricazione di scope e spazzole";4
"C";"3299";"Altre ind. manifatturiere nca";"Altre industrie manifatturiere n.c.a.";4
"C";"3311";"Ripar. di prod. in metallo";"Riparazione di prodotti in metallo";4
"C";"3312";"Ripar. di macchinari";"Riparazione di macchinari";4
"C";"3313";"Ripar. di app. elettroniche ed ottiche";"Riparazione di apparecchiature elettroniche ed ottiche";4
"C";"3314";"Ripar. di app. elettriche";"Riparazione di apparecchiature elettriche";4
"C";"3315";"Ripar. e man. di navi e imbarcazioni";"Riparazione e manutenzione di navi e imbarcazioni";4
"C";"3316";"Ripar. e manutenzione di aeromobili";"Riparazione e manutenzione di aeromobili e veicoli spaziali";4
"C";"3317";"Ripar. e man. di altri mezzi di trasp.";"Riparazione e manutenzione di altri mezzi di trasporto";4
"C";"3319";"Ripar. di altre apparecchiature";"Riparazione di altre apparecchiature";4
"C";"3320";"Inst. di macch. ed app. industriali";"Installazione di macchine ed apparecchiature industriali";4
"D";"3511";"Prod. di energia elettrica";"Produzione di energia elettrica";4
"D";"3512";"Trasmissione di energia elettrica";"Trasmissione di energia elettrica";4
"D";"3513";"Distr. di energia elettrica";"Distribuzione di energia elettrica";4
"D";"3514";"Comm. di energia elettrica";"Commercio di energia elettrica";4
"D";"3521";"Produzione di gas";"Produzione di gas";4
"D";"3522";"Distr. di combustibili gassosi";"Distribuzione di combustibili gassosi mediante condotte";4
"D";"3523";"Comm. di gas distribuito mediante cond.";"Commercio di gas distribuito mediante condotte";4
"D";"3530";"Fornitura di vapore e aria condizionata";"Fornitura di vapore e aria condizionata";4
"E";"3600";"Raccolta, tratt. e fornitura di acqua";"Raccolta, trattamento e fornitura di acqua";4
"E";"3700";"Gestione delle reti fognarie";"Gestione delle reti fognarie";4
"E";"3811";"Racc. di rifiuti non pericolosi";"Raccolta di rifiuti non pericolosi";4
"E";"3812";"Racc. di rifiuti pericolosi";"Raccolta di rifiuti pericolosi";4
"E";"3821";"Tratt. e smalt. di rifiuti non pericol.";"Trattamento e smaltimento di rifiuti non pericolosi";4
"E";"3822";"Tratt. e smalt. di rifiuti pericolosi";"Trattamento e smaltimento di rifiuti pericolosi";4
"E";"3831";"Demolizione di carcasse";"Demolizione di carcasse";4
"E";"3832";"Rec. dei materiali selezionati";"Recupero dei materiali selezionati";4
"E";"3900";"Att. di risanamento";"Attività di risanamento e altri servizi di gestione dei rifiuti";4
"F";"4110";"Sviluppo di progetti imm.";"Sviluppo di progetti immobiliari";4
"F";"4120";"Costr. di edifici resid. e non resid.";"Costruzione di edifici residenziali e non residenziali";4
"F";"4211";"Costr. di strade e autostrade";"Costruzione di strade e autostrade";4
