"sezioni";"codici";"titoli_corti";"titoli";"l"
"A";"017000";"Caccia, cattura di animali";"Caccia, cattura di animali e servizi connessi";6
"A";"021000";"Silvicolt. e altre att. forestali";"Silvicoltura e altre attività forestali";6
"A";"022000";"Utilizzo di aree forest.";"Utilizzo di aree forestali";6
"A";"023000";"Raccolta di prod. non legnosi selvatici";"Raccolta di prodotti non legnosi selvatici";6
"A";"024000";"Servizi di supporto per la silvicolt.";"Servizi di supporto per la silvicoltura";6
"A";"031100";"Pesca marina";"Pesca marina";6
"A";"031200";"Pesca in acque dolci";"Pesca in acque dolci";6
"A";"032100";"Acquicolt. marina";"Acquicoltura marina";6
"A";"032200";"Acquicolt. in acque dolci";"Acquicoltura in acque dolci";6
"B";"051000";"Estr. di antracite";"Estrazione di antracite";6
"B";"052000";"Estr. di lignite";"Estrazione di lignite";6
"B";"061000";"Estr. di petrolio greggio";"Estrazione di petrolio greggio";6
"B";"062000";"Estr. di gas naturale";"Estrazione di gas naturale";6
"B";"071000";"Estr. di min. metalliferi ferrosi";"Estrazione di minerali metalliferi ferrosi";6
"B";"072100";"Estr. di min. di uranio e di torio";"Estrazione di minerali di uranio e di torio";6
"B";"072900";"Estr. di altri min. metalliferi non fer.";"Estrazione di altri minerali metalliferi non ferrosi";6
"B";"081100";"Estr. di pietre ornamentali e da costr.";"Estrazione di pietre ornamentali e da costruzione, calcare, pietra di gesso, creta e ardesia";6
"B";"081200";"Estr. di ghiaia, sabbia";"Estrazione di ghiaia e sabbia; estrazione di argille e caolino";6
"B";"089100";"Estr. di min. per l'industria chimica";"Estrazione di minerali per l'industria chimica e per la produzione di fertilizzanti";6
"B";"089200";"Estr. di torba";"Estrazione di torba";6
"B";"089300";"Estr. di sale";"Estrazione di sale";6
"B";"089900";"Altre att. estrattive nca";"Altre attività estrattive n.c.a.";6
"B";"091000";"Att. di supporto all'estr. di petrolio";"Attività di supporto all'estrazione di petrolio e di gas naturale";6
"B";"099000";"Att. di supporto ad altre att. estr.";"Attività di supporto ad altre attività estrattive";6
"C";"101100";"Prod. di carne, esclusi i volatili";"Produzione di carne, esclusi i volatili";6
"C";"101200";"Prod. di carne di volatili";"Produzione di carne di volatili";6
"C";"101300";"Prod. di prodotti a base di carne";"Produzione di prodotti a base di carne (compresa la carne di volatili)";6
"C";"102000";"Lavorazione e cons. di pesce";"Lavorazione e conservazione di pesce, crostacei e molluschi";6
"C";"103100";"Lavorazione e cons. delle patate";"Lavorazione e conservazione delle patate";6
"C";"103200";"Prod. di succhi di frutta e di ortaggi";"Produzione di succhi di frutta e di ortaggi";6
"C";"103900";"Altre lav. e cons. di frutta e ortaggi";"Altra lavorazione e conservazione di frutta e ortaggi";6
"C";"104100";"Prod. di oli e grassi";"Produzione di oli e grassi";6
"C";"104200";"Prod. di margarina e di grassi commest.";"Produzione di margarina e di grassi commestibili simili";6
"C";"105101";"Trattamento e conf. del latte fresco";"Trattamento e confezionamento del latte fresco";6
"C";"105102";"Prod. di formaggio";"Produzione di formaggio";6
"C";"105103";"Prod. di altri derivati del latte";"Produzione di altri derivati del latte";6
"C";"105200";"Prod. di gelati";"Produzione di gelati";6
"C";"106100";"Lav. delle granaglie";"Lavorazione delle granaglie";6
"C";"106200";"Prod. di amidi e di prod. amidacei";"Produzione di amidi e di prodotti amidacei";6
"C";"107100";"Prod. di pane; prod. di pasticceria";"Produzione di pane; prodotti di pasticceria freschi";6
"C";"107200";"Prod. di fette biscottate e di biscotti";"Produzione di fette biscottate e di biscotti; fabbricazione di prodotti di pasticceria conservati";6
"C";"107300";"Prod. di paste alimentari";"Produzione di paste alimentari, di cuscus e di prodotti farinacei simili";6
"C";"108100";"Prod. di zucchero";"Produzione di zucchero";6
"C";"108201";"Prod. di cacao e cioccolato";"Produzione di cacao e cioccolato";6
"C";"108202";"Prod. di confetterie";"Produzione di confetterie";6
"C";"108300";"Lav. del tè e del caffè";"Lavorazione del tè e del caffè";6
"C";"108400";"Prod. di condimenti e spezie";"Produzione di condimenti e spezie";6
"C";"108500";"Prod. di pasti e piatti preparati";"Produzione di pasti e piatti preparati";6
"C";"108600";"Prod. di preparati omogeneizzati";"Produzione di preparati omogeneizzati e di alimenti dietetici";6
"C";"108900";"Prod. di altri prodotti alim. nca";"Produzione di altri prodotti alimentari n.c.a.";6
"C";"109100";"Prod. di mangimi per l'alim. degli anim.";"Produzione di mangimi per l'alimentazione degli animali da allevamento";6
"C";"109200";"Prod. di prod. per l'alim. d. anim. dom.";"Produzione di prodotti per l'alimentazione degli animali domestici";6
"C";"110100";"Distil., rett. e miscelatura di alcolici";"Distillazione, rettifica e miscelatura di alcolici";6
"C";"110200";"Prod. di vini da uve";"Produzione di vini da uve";6
"C";"110300";"Prod. di sidro";"Produzione di sidro e di altri vini a base di frutta";6
"C";"110400";"Prod. di altre bevande ferm. non distil.";"Produzione di altre bevande fermentate non distillate";6
"C";"110500";"F. di birra";"Fabbricazione di birra";6
"C";"110600";"F. di malto";"Fabbricazione di malto";6
"C";"110700";"Prod. di bibite analcoliche";"Produzione di bibite analcoliche, di acque minerali e di altre acque in bottiglia";6
"C";"120000";"Prod. di tabacchi";"Produzione di tabacchi";6
"C";"131001";"Prep. e filatura di fibre tipo cotone";"Preparazione e filatura di fibre tipo cotone";6
"C";"131002";"Prep. e fil. di fibre tipo lana cardata";"Preparazione e filatura di fibre tipo lana cardata e pettinata";6
"C";"131003";"Torcitura e prep. della seta e di filati";"Torcitura e preparazione della seta e di filati sintetici o artificiali";6
"C";"131004";"Prep. e filatura di altre fibre tessili";"Preparazione e filatura di altre fibre tessili";6
"C";"132001";"Tess. di filati tipo cotone";"Tessitura di filati tipo cotone";6
"C";"132002";"Tess. di filati tipo lana";"Tessitura di filati tipo lana cardata e pettinata";6
"C";"132003";"Tess. di altre materie tessili";"Tessitura di altre materie tessili";6
"C";"133000";"Finissaggio dei tess.";"Finissaggio dei tessili";6
"C";"139100";"F. di tessuti a maglia";"Fabbricazione di tessuti a maglia";6
"C";"139201";"Conf. di biancheria da letto, da tavola";"Confezionamento di biancheria da letto, da tavola e per l'arredamento";6
"C";"139202";"F. di articoli da letto";"Fabbricazione di articoli da letto";6
"C";"139203";"F. di altri articoli in mat. tessili";"Fabbricazione di altri articoli in materie tessili, esclusi gli articoli di abbigliamento";6
"C";"139300";"F. di tappeti e moquette";"Fabbricazione di tappeti e moquette";6
"C";"139400";"F. di spago, corde, funi e reti";"Fabbricazione di spago, corde, funi e reti";6
"C";"139500";"F. di tessuti non tessuti";"Fabbricazione di tessuti non tessuti e di articoli in tali materie, esclusi gli articoli di abbigliamento";6
"C";"139600";"F. di tessuti per uso tecnico e ind.";"Fabbricazione di tessuti per uso tecnico e industriale";6
"C";"139901";"F. di ricami";"Fabbricazione di ricami";6
"C";"139902";"F. di passamanerie";"Fabbricazione di passamanerie";6
"C";"139903";"F. di altri tessili nca";"Fabbricazione di altri tessili n.c.a.";6
"C";"141100";"Conf. di abbigliamento in pelle";"Confezione di abbigliamento in pelle";6
"C";"141200";"Conf. di indumenti da lavoro";"Confezione di indumenti da lavoro";6
"C";"141301";"Conf. di indumenti per uomo e bambino";"Confezione di indumenti per uomo e per bambino";6
"C";"141302";"Conf. di indumenti per donna, bambina";"Confezione di indumenti per donna e per bambina";6
"C";"141303";"Conf. di indumenti esterni s.p.";"Confezione di indumenti esterni senza predominanza";6
"C";"141401";"Conf. di biancheria pers. per uomo";"Confezione di biancheria personale per uomo e per bambino";6
"C";"141402";"Conf. di biancheria pers. per donna";"Confezione di biancheria personale per donna e per bambina";6
"C";"141403";"Conf. di biancheria pers. esterni s.p.";"Confezione di biancheria personale esterni senza predominanza";6
"C";"141900";"Conf. di altri art. di abb. ed accessori";"Confezione di altri articoli di abbigliamento ed accessori";6
"C";"142000";"Conf. di articoli in pelliccia";"Confezione di articoli in pelliccia";6
"C";"143100";"F. di art. di calzetteria in maglia";"Fabbricazione di articoli di calzetteria in maglia";6
"C";"143900";"F. di altri articoli di maglieria";"Fabbricazione di altri articoli di maglieria";6
"C";"151100";"Prep. e tintura di pellicce";"Preparazione e concia del cuoio; preparazione e tintura di pellicce";6
"C";"151200";"F. di art. da viaggio, borse e simili";"Fabbricazione di articoli da viaggio, borse e simili, pelletteria e selleria";6
"C";"152000";"F. di calzature";"Fabbricazione di calzature";6
"C";"161001";"Taglio del legno";"Taglio del legno";6
"C";"161002";"Piallatura del legno e tratt. di superf.";"Piallatura del legno e trattamento di superficie";6
"C";"161003";"Tratt. del legno";"Trattamento del legno";6
"C";"162100";"F. di fogli da impiall. e di pannelli";"Fabbricazione di fogli da impiallacciatura e di pannelli a base di legno";6
"C";"162200";"F. di pavimenti a parquet assemblati";"Fabbricazione di pavimenti a parquet assemblati";6
"C";"162301";"Falegn. per l'edilizia, porte e finestre";"Falegnameria per l'edilizia, porte e finestre in legno";6
"C";"162302";"Falegnameria per interni";"Falegnameria per interni";6
"C";"162303";"F. di altri elem. di carpent. in legno";"Fabbricazione di altri elementi di carpenteria in legno e falegnameria per l'edilizia";6
"C";"162400";"F. di imballaggi in legno";"Fabbricazione di imballaggi in legno";6
"C";"162900";"F. di altri prod. in legno";"Fabbricazione di altri prodotti in legno, fabbricazione di articoli in sughero, paglia e materiali da intreccio";6
"C";"171100";"F. di pasta-carta";"Fabbricazione di pasta-carta";6
"C";"171200";"F. di carta e di cartone";"Fabbricazione di carta e di cartone";6
"C";"172100";"F. di carta e cartoni ondulati";"Fabbricazione di carta e cartoni ondulati e di imballaggi di carta e cartone";6
"C";"172200";"F. di prod. di carta e cartone";"Fabbricazione di prodotti di carta e cartone per uso domestico e igienico-sanitario";6
"C";"172300";"F. di prod. cartotecnici";"Fabbricazione di prodotti cartotecnici";6
"C";"172400";"F. di carta da parati";"Fabbricazione di carta da parati";6
"C";"172900";"F. di altri art. di carta e cartone";"Fabbricazione di altri articoli di carta e cartone";6
"C";"181100";"Stampa di giornali";"Stampa di giornali";6
"C";"181201";"Stampa offset";"Stampa offset";6
"C";"181202";"Serigrafia";"Serigrafia";6
"C";"181203";"Eliografia e riprografia";"Eliografia e riprografia";6
"C";"181204";"Altre stampe nca";"Altre stampe n.c.a.";6
"C";"181301";"Att. preliminari alla stampa";"Attività preliminari alla stampa";6
"C";"181302";"Altre att. connesse alla stampa nca";"Altre attività connesse alla stampa n.c.a.";6
"C";"181400";"Rilegatura e servizi conn.";"Rilegatura e servizi connessi";6
"C";"182000";"Riprod. su supporti registrati";"Riproduzione su supporti registrati";6
"C";"191000";"F. di prodotti di cokeria";"Fabbricazione di prodotti di cokeria";6
"C";"192000";"F. di prod. derivanti dalla raffin.";"Fabbricazione di prodotti derivanti dalla raffinazione del petrolio";6
"C";"201100";"F. di gas industriali";"Fabbricazione di gas industriali";6
"C";"201200";"F. di coloranti e pigmenti";"Fabbricazione di coloranti e pigmenti";6
"C";"201300";"F. di altri prod. chim. di base inorg.";"Fabbricazione di altri prodotti chimici di base inorganici";6
"C";"201400";"F. di a. prod. chim. di base organici";"Fabbricazione di altri prodotti chimici di base organici";6
"C";"201500";"F. di fertil. e di composti azotati";"Fabbricazione di fertilizzanti e di composti azotati";6
"C";"201600";"F. di mat. plastiche in forme primarie";"Fabbricazione di materie plastiche in forme primarie";6
"C";"201700";"F. di gomma sint. in forme primarie";"Fabbricazione di gomma sintetica in forme primarie";6
"C";"202000";"F. di fitofarmaci e di altri prod. chim.";"Fabbricazione di fitofarmaci e di altri prodotti chimici per l'agricoltura";6
"C";"203000";"F. di pitture, vernici e smalti";"Fabbricazione di pitture, vernici e smalti, inchiostri da stampa e adesivi sintetici";6
"C";"204100";"F. di saponi e detergenti";"Fabbricazione di saponi e detergenti, di prodotti per la pulizia e la lucidatura";6
"C";"204200";"F. di profumi e cosmetici";"Fabbricazione di profumi e cosmetici";6
"C";"205100";"F. di esplosivi";"Fabbricazione di esplosivi";6
"C";"205200";"F. di colle";"Fabbricazione di colle";6
"C";"205300";"F. di oli essenziali";"Fabbricazione di oli essenziali";6
"C";"205900";"F. di altri prod. chimici nca";"Fabbricazione di altri prodotti chimici n.c.a.";6
"C";"206000";"F. di fibre sint. e artificiali";"Fabbricazione di fibre sintetiche e artificiali";6
"C";"211000";"F. di prodotti farmaceutici di base";"Fabbricazione di prodotti farmaceutici di base";6
"C";"212000";"F. di preparati farmaceutici";"Fabbricazione di preparati farmaceutici";6
"C";"221100";"F. di pneumatici e camere d'aria";"Fabbricazione di pneumatici e camere d'aria; rigenerazione e ricostruzione di pneumatici";6
"C";"221900";"F. di altri prodotti in gomma";"Fabbricazione di altri prodotti in gomma";6
"C";"222100";"F. di lastre, fogli, tubi";"Fabbricazione di lastre, fogli, tubi e profilati in materie plastiche";6
"C";"222200";"F. di imballaggi in mat. plastiche";"Fabbricazione di imballaggi in materie plastiche";6
"C";"222300";"F. di art. in plastica per l'edilizia";"Fabbricazione di articoli in plastica per l'edilizia";6
"C";"222900";"F. di altri art. in materie plastiche";"Fabbricazione di altri articoli in materie plastiche";6
"C";"231100";"F. di vetro piano";"Fabbricazione di vetro piano";6
"C";"231200";"Lav. e trasf. del vetro piano";"Lavorazione e trasformazione del vetro piano";6
"C";"231300";"F. di vetro cavo";"Fabbricazione di vetro cavo";6
"C";"231400";"F. di fibre di vetro";"Fabbricazione di fibre di vetro";6
"C";"231900";"F. e lavorazione di altro vetro";"Fabbricazione e lavorazione di altro vetro incluso il vetro per usi tecnici";6
"C";"232000";"F. di prodotti refrattari";"Fabbricazione di prodotti refrattari";6
"C";"233100";"F. di piastrelle in ceram. per pavim.";"Fabbricazione di piastrelle in ceramica per pavimenti e rivestimenti";6
"C";"233200";"F. di mattoni, tegole ed altri prod.";"Fabbricazione di mattoni, tegole ed altri prodotti per l'edilizia in terracotta";6
"C";"234100";"F. di prod. in ceram. per usi dom.";"Fabbricazione di prodotti in ceramica per usi domestici e ornamentali";6
"C";"234200";"F. di articoli sanitari in ceramica";"Fabbricazione di articoli sanitari in ceramica";6
"C";"234300";"F. di isolatori e di pezzi in ceram.";"Fabbricazione di isolatori e di pezzi isolanti in ceramica";6
"C";"234400";"F. di a. prod. in ceram. per uso tecn.";"Fabbricazione di altri prodotti in ceramica per uso tecnico e industriale";6
"C";"234900";"F. di altri prodotti in ceramica";"Fabbricazione di altri prodotti in ceramica";6
"C";"235100";"Prod. di cemento";"Produzione di cemento";6
"C";"235200";"Prod. di calce e gesso";"Produzione di calce e gesso";6
"C";"236100";"F. di prod. in calces. per l'edilizia";"Fabbricazione di prodotti in calcestruzzo per l'edilizia";6
"C";"236200";"F. di prod. in gesso per l'edilizia";"Fabbricazione di prodotti in gesso per l'edilizia";6
"C";"236300";"F. di calcestruzzo pronto per l'uso";"Fabbricazione di calcestruzzo pronto per l'uso";6
"C";"236400";"F. di malta";"Fabbricazione di malta";6
"C";"236500";"F. di prod. in fibrocemento";"Fabbricazione di prodotti in fibrocemento";6
"C";"236900";"F. di altri prod. in calcestruzzo";"Fabbricazione di altri prodotti in calcestruzzo, gesso e cemento";6
"C";"237000";"Taglio, modellatura e finit. di pietre";"Taglio, modellatura e finitura di pietre";6
"C";"239100";"F. di prodotti abrasivi";"Fabbricazione di prodotti abrasivi";6
"C";"239901";"F. di prod. a base di asfalto";"Fabbricazione di prodotti a base di asfalto";6
"C";"239902";"A. f. di a. prod. in min. non met. nca";"Altre fabbricazione di altri prodotti diversi in minerali non metalliferi n.c.a.";6
"C";"241000";"Att. siderurgiche";"Attività siderurgiche";6
"C";"242000";"F. di tubi, condotti, profilati cavi";"Fabbricazione di tubi, condotti, profilati cavi e relative guarnizioni in acciaio";6
"C";"243100";"Stiratura a freddo di barre";"Stiratura a freddo di barre";6
"C";"243200";"Laminazione a freddo di nastri";"Laminazione a freddo di nastri";6
"C";"243300";"Profilatura mediante formatura";"Profilatura mediante formatura o piegatura a freddo";6
"C";"243400";"Trafilatura a freddo";"Trafilatura a freddo";6
"C";"244100";"Produzione di metalli preziosi";"Produzione di metalli preziosi";6
"C";"244200";"Prod. e att. di prima trasf. di allu.";"Produzione e attività di prima trasformazione di alluminio";6
"C";"244300";"Prod. e att. di prima trasf. di piombo";"Produzione e attività di prima trasformazione di piombo, zinco e stagno";6
"C";"244400";"Prod. e att. di prima trasf. di rame";"Produzione e attività di prima trasformazione di rame";6
"C";"244500";"Att. di prima trasf. d. met. non ferrosi";"Produzione e attività di prima trasformazione di altri metalli non ferrosi";6
"C";"244600";"Tratt. dei combustibil nucleari";"Trattamento dei combustibili nucleari";6
"C";"245100";"Fusione di ghisa";"Fusione di ghisa";6
"C";"245200";"Fusione di acciaio";"Fusione di acciaio";6
"C";"245300";"Fusione di metalli leggeri";"Fusione di metalli leggeri";6
"C";"245400";"Fusione di altri metalli non ferrosi";"Fusione di altri metalli non ferrosi";6
"C";"251100";"F. di strutture metalliche";"Fabbricazione di strutture metalliche e di parti di strutture";6
"C";"251200";"F. di porte e finestre in metallo";"Fabbricazione di porte e finestre in metallo";6
"C";"252100";"F. di radiatori e contenitori in met.";"Fabbricazione di radiatori e contenitori in metallo per caldaie per il riscaldamento centrale";6
"C";"252900";"F. di altre cisterne, serbatoi";"Fabbricazione di altre cisterne, serbatoi e contenitori in metallo";6
"C";"253000";"F. di generatori di vapore";"Fabbricazione di generatori di vapore, esclusi i contenitori in metallo per caldaie per il riscaldamento centrale ad acqua calda";6
"C";"254000";"F. di armi e munizioni";"Fabbricazione di armi e munizioni";6
"C";"255000";"Fucinatura, imbutitura, stampaggio";"Fucinatura, imbutitura, stampaggio e profilatura dei metalli; metallurgia delle polveri";6
"C";"256100";"Tratt. e rivestimento dei metalli";"Trattamento e rivestimento dei metalli";6
"C";"256201";"Lav. di officina meccanica";"Lavori d'officina meccanica";6
"C";"256202";"Lav. da fabbro";"Lavori da fabbro";6
"C";"256203";"Lav. di fucinatura";"Lavori di fucinatura";6
"C";"257100";"F. di art. di coltelleria e posateria";"Fabbricazione di articoli di coltelleria e posateria";6
"C";"257200";"F. di serrature e cerniere";"Fabbricazione di serrature e cerniere";6
"C";"257300";"F. di utensileria";"Fabbricazione di utensileria";6
"C";"259100";"F. di bidoni in acciaio";"Fabbricazione di bidoni in acciaio e di contenitori analoghi";6
"C";"259200";"F. di imballaggi leggeri in metallo";"Fabbricazione di imballaggi leggeri in metallo";6
"C";"259300";"F. di prod. fabbricati con fili met.";"Fabbricazione di prodotti fabbricati con fili metallici, di catene e molle";6
"C";"259400";"F. di articoli di bulloneria";"Fabbricazione di articoli di bulloneria";6
"C";"259900";"F. di altri prod. in metallo nca";"Fabbricazione di altri prodotti in metallo n.c.a.";6
"C";"261100";"F. di componenti elettronici";"Fabbricazione di componenti elettronici";6
"C";"261200";"F. di schede elettroniche integrate";"Fabbricazione di schede elettroniche integrate";6
"C";"262000";"F. di computer e unità periferiche";"Fabbricazione di computer e unità periferiche";6
"C";"263000";"F. di app. per le comunicazioni";"Fabbricazione di apparecchiature per le comunicazioni";6
"C";"264000";"F. di prod. di el. di consumo";"Fabbricazione di prodotti di elettronica di consumo";6
"C";"265100";"F. di strumenti e app. di misurazione";"Fabbricazione di strumenti e apparecchi di misurazione, prova e navigazione";6
"C";"265201";"F. e assemblaggio di orologi";"Fabbricazione e assemblaggio di orologi";6
"C";"265202";"F. e assemblaggio di grandi orologi";"Fabbricazione e assemblaggio di grandi orologi";6
"C";"265203";"F. e assembl. di meccanismi di orologi";"Fabbricazione e assemblaggio di meccanismi di orologi";6
"C";"265204";"F. di casse e quadranti";"Fabbricazione di casse e quadranti";6
"C";"265205";"F. di altre parti di orologi";"Fabbricazione di altre parti di orologi";6
"C";"266000";"F. di strum. per irradiazione medicale";"Fabbricazione di strumenti per irradiazione, apparecchiature elettromedicali ed elettroterapeutiche";6
"C";"267000";"F. di strum. ottici e attrezz. fotograf.";"Fabbricazione di strumenti ottici e attrezzature fotografiche";6
"C";"268000";"F. di supporti ottici e magnetici";"Fabbricazione di supporti ottici e magnetici";6
"C";"271100";"F. di motori, generatori e trasf. el.";"Fabbricazione di motori, generatori e trasformatori elettrici";6
"C";"271200";"F. di app. per la distribuzione el.";"Fabbricazione di apparecchiature per la distribuzione e il controllo dell'elettricità";6
"C";"272000";"F. di batterie e accumulatori";"Fabbricazione di batterie e accumulatori";6
"C";"273100";"F. di cavi a fibre ottiche";"Fabbricazione di cavi a fibre ottiche";6
"C";"273200";"F. di altri fili e cavi elettronici";"Fabbricazione di altri fili e cavi elettronici ed elettrici";6
"C";"273300";"F. di attrezz. per cablaggio";"Fabbricazione di attrezzature per cablaggio";6
"C";"274000";"F. di app. per illuminazione";"Fabbricazione di apparecchiature per illuminazione";6
"C";"275100";"F. di elettrodomestici";"Fabbricazione di elettrodomestici";6
"C";"275200";"F. di app. per uso dom. non elettrici";"Fabbricazione di apparecchi per uso domestico non elettrici";6
"C";"279000";"F. di altre app. elettriche";"Fabbricazione di altre apparecchiature elettriche";6
"C";"281100";"F. di motori e turbine";"Fabbricazione di motori e turbine, esclusi i motori per aeromobili, veicoli e motocicli";6
"C";"281200";"F. di app. fluidodinamiche";"Fabbricazione di apparecchiature fluidodinamiche";6
"C";"281300";"F. di altre pompe e compressori";"Fabbricazione di altre pompe e compressori";6
"C";"281400";"F. di altri rubinetti e valvole";"Fabbricazione di altri rubinetti e valvole";6
"C";"281500";"F. di cuscinetti, ingranaggi";"Fabbricazione di cuscinetti, ingranaggi e organi di trasmissione";6
"C";"282100";"F. di forni, caldaie";"Fabbricazione di forni, caldaie per il riscaldamento centrale e bruciatori per caldaie";6
"C";"282200";"F. di app. di sollevamento e mov.";"Fabbricazione di apparecchi di sollevamento e movimentazione";6
"C";"282300";"F. di macch. e attrezz. per ufficio";"Fabbricazione di macchine e attrezzature per ufficio (esclusi computer e unità periferiche)";6
"C";"282400";"F. di utensili portatili a motore";"Fabbricazione di utensili portatili a motore";6
"C";"282500";"F. di attrezz. di uso non domestico";"Fabbricazione di attrezzature di uso non domestico per la refrigerazione e la ventilazione";6
"C";"282900";"F. di altre macch. d'impiego gen. nca";"Fabbricazione di altre macchine di impiego generale n.c.a.";6
"C";"283000";"F. di macch. per l'agr. e la silvicolt.";"Fabbricazione di macchine per l'agricoltura e la silvicoltura";6
"C";"284100";"F. di macch. per la formatura dei met.";"Fabbricazione di macchine per la formatura dei metalli";6
"C";"284900";"F. di altre macch. utensili nca";"Fabbricazione di altre macchine utensili n.c.a.";6
"C";"289100";"F. di macch. per la metallurgia";"Fabbricazione di macchine per la metallurgia";6
"C";"289200";"F. di macchine da miniera";"Fabbricazione di macchine da miniera, cava e cantiere";6
"C";"289300";"F. di macch. per l'industria alim.";"Fabbricazione di macchine per l'industria alimentare, delle bevande e del tabacco";6
"C";"289400";"F. di macchine per le industrie tess.";"Fabbricazione di macchine per le industrie tessili, dell'abbigliamento e del cuoio";6
"C";"289500";"F. di macch. per l'ind. della carta";"Fabbricazione di macchine per l'industria della carta e del cartone";6
"C";"289600";"F. di macch. per l'ind. d. mat. plast.";"Fabbricazione di macchine per l'industria delle materie plastiche e della gomma";6
"C";"289901";"F. di macch. per la stampa";"Fabbricazione di macchine per la stampa";6
"C";"289902";"F. d. macch. per impieghi spec. nca";"Fabbricazione di macchine diverse per impieghi speciali n.c.a.";6
"C";"291000";"F. di autoveicoli";"Fabbricazione di autoveicoli";6
"C";"292000";"F. di carrozzerie per autoveicoli";"Fabbricazione di carrozzerie per autoveicoli; fabbricazione di rimorchi e semirimorchi";6
"C";"293100";"F. di app. el. ed elettroniche";"Fabbricazione di apparecchiature elettriche ed elettroniche per autoveicoli";6
"C";"293200";"F. di altre parti ed acc. per autov.";"Fabbricazione di altre parti ed accessori per autoveicoli";6
"C";"301100";"Costr. di navi e di strutt. galleggianti";"Costruzione di navi e di strutture galleggianti";6
"C";"301200";"Costr. di imbarcazioni da diporto";"Costruzione di imbarcazioni da diporto e sportive";6
"C";"302000";"Costr. di locomotive e di mat. rotabile";"Costruzione di locomotive e di materiale rotabile ferro-tranviario";6
"C";"303000";"F. di aeromobili, di veicoli spaziali";"Fabbricazione di aeromobili, di veicoli spaziali e dei relativi dispositivi";6
"C";"304000";"F. di veicoli militari da combatt.";"Fabbricazione di veicoli militari da combattimento";6
"C";"309100";"F. di motocicli";"Fabbricazione di motocicli";6
"C";"309201";"F. di biciclette";"Fabbricazione di biciclette";6
"C";"309202";"F. di veicoli per invalidi";"Fabbricazione di veicoli per invalidi";6
"C";"309900";"F. di altri mezzi di trasporto nca";"Fabbricazione di altri mezzi di trasporto n.c.a.";6
"C";"310100";"F. di mobili per uffici e negozi";"Fabbricazione di mobili per uffici e negozi (senza instalazzione)";6
"C";"310200";"F. di mobili per cucina e bagni";"Fabbricazione di mobili per cucina e bagni (senza instalazzione)";6
"C";"310300";"F. di materassi";"Fabbricazione di materassi";6
"C";"310900";"F. di altri mobili";"Fabbricazione di altri mobili";6
"C";"321100";"Conio di monete";"Conio di monete";6
"C";"321201";"Lav. di pietre preziose";"Lavorazione di pietre preziose";6
"C";"321202";"F. d. oggetti di oref. e gioielleria nca";"Fabbricazione di oggetti di oreficeria e gioielleria n.c.a. (esclusa la fabbricazione di oggetti di bigiotteria)";6
